Species,Date_Collected,Month,Day ,Year,Plot,Sex,Weight(grams),Scale_Calibrated,Comments
DM,16/07/2013,7,16,2013,2,F,0,0,Zeros indicate missing data
DM,16/07/2013,7,16,2013,7,M,33,0,
DM,16/07/2013,7,16,2013,3,M,0,0,
DM,16/07/2013,7,16,2013,1,M,0,0,
DM,18/07/2013,7,18,2013,3,M,40,0,
DM,18/07/2013,7,18,2013,7,M,48,0,
DM,18/07/2013,7,18,2013,4,F,29,0,
DM,18/07/2013,7,18,2013,4,F,46,0,
DM,18/07/2013,7,18,2013,7,M,36,0,
DM,18/07/2013,7,18,2013,7,F,35,0,
DM,18/07/2013,7,18,2013,8,F,22,0,
DM,18/07/2013,7,18,2013,7,F,42,0,
DM,18/07/2013,7,18,2013,4,F,41,0,
DM,18/07/2013,7,18,2013,6,F,37,0,
DO,19/08/2013,8,19,2013,8,F,52,0,
DO,17/10/2013,10,17,2013,3,F,33,0,
DO,17/10/2013,10,17,2013,3,F,50,0,
DO,17/10/2013,10,17,2013,17,F,48,0,
DO,17/10/2013,10,17,2013,17,F,31,0,
DO,18/10/2013,10,18,2013,8,F,41,0,
DO,12/11/2013,11,12,2013,1,F,44,0,
DO,12/11/2013,11,12,2013,1,M,48,0,
DS,12/11/2013,11,12,2013,9,F,117,Y,
DS,12/11/2013,11,12,2013,1,F,121,Y,
DS,12/11/2013,11,12,2013,20,M,115,Y,
DS,12/11/2013,11,12,2013,9,F,120,Y,
DS,13/11/2013,11,13,2013,17,F,118,Y,
DS,13/11/2013,11,13,2013,11,F,126,Y,
DS,13/11/2013,11,13,2013,17,M,132,N,
DS,13/11/2013,11,13,2013,14,F,113,N,
DS,13/11/2013,11,13,2013,11,F,122,Y,
DS,13/11/2013,11,13,2013,4,F,107,Y,
DS,13/11/2013,11,13,2013,4,F,115,Y,
DO,14/11/2013,11,14,2013,8,F,39,0,
DO,10/12/2013,12,10,2013,9,F,40,0,
DO,10/12/2013,12,10,2013,1,M,45,0,
DO,11/12/2013,12,11,2013,8,F,41,0,
NA,08/01/2014,1,8,2014,2,M,44,Y,
DM,08/01/2014,1,8,2014,2,M,38,Y,
DM,08/01/2014,1,8,2014,2,,0,Y,
OL,08/01/2014,1,8,2014,2,M,22,Y,
PE,08/01/2014,1,8,2014,2,M,38,Y,
DM,08/01/2014,1,8,2014,2,M,48,Y,
DM,08/01/2014,1,8,2014,2,M,43,Y,
DM,08/01/2014,1,8,2014,2,F,35,Y,
DM,08/01/2014,1,8,2014,2,M,43,Y,
DM,08/01/2014,1,8,2014,2,F,37,Y,
DM,08/01/2014,1,8,2014,2,F,7,Y,
PF,08/01/2014,1,8,2014,2,M,45,Y,
DM,08/01/2014,1,8,2014,2,0,0,Y,
OT,08/01/2014,1,8,2014,2,M,157,N,
DS,08/01/2014,1,8,2014,2,0,0,Y,
OX,08/01/2014,1,8,2014,2,M,218,N,
DM,09/01/2014,1,9,2014,1,M,40,0,
DM,09/01/2014,1,9,2014,1,F,36,0,
DS,09/01/2014,1,9,2014,1,F,135,0,
DM,20/01/2014,1,20,2014,1,F,39,0,
DM,20/01/2014,1,20,2014,1,M,43,0,
DS,20/01/2014,1,20,2014,1,F,144,0,
NA,18/02/2014,2,18,2014,2,F,7,Y,
PF,18/02/2014,2,18,2014,2,M,52,Y,
DM,18/02/2014,2,18,2014,2,0,0,Y,
DM,13/03/2014,3,13,2014,1,F,51,0,
DM,13/03/2014,3,13,2014,1,F,44,0,
DS,13/03/2014,3,13,2014,1,F,146,0,
PF,08/01/2015,1,8,2015,3,M,7,0,
PF,08/01/2015,1,8,2015,3,M,7,0,
OT,18/02/2015,2,18,2015,3,M,24,0,
OT,18/02/2015,2,18,2015,3,F,23,0,
OT,18/02/2015,2,18,2015,3,M,24,0,
OT,19/02/2015,2,19,2015,3,F,23,0,
NA,11/03/2015,3,11,2015,3,M,232,0,
OT,11/03/2015,3,11,2015,3,F,22,0,
OT,11/03/2015,3,11,2015,3,M,26,0,
PF,11/03/2015,3,11,2015,3,M,8,0,
NA,11/03/2015,3,11,2015,3,M,232,0,
OT,11/03/2015,3,11,2015,3,F,22,0,
OT,11/03/2015,3,11,2015,3,M,26,0,
PF,11/03/2015,3,11,2015,3,M,8,0,
NA,08/04/2015,4,8,2015,3,F,0,0,
NA,08/04/2015,4,8,2015,3,F,0,0,
0,06/05/2015,5,6,2015,3,0,0,0,
0,06/05/2015,5,6,2015,3,0,0,0,
NA,18/05/2015,5,18,2015,3,F,182,0,
NA,18/05/2015,5,18,2015,3,F,182,0,
OT,09/06/2015,6,9,2015,3,F,29,0,
OT,09/06/2015,6,9,2015,3,F,29,0,
NA,08/07/2015,7,8,2015,3,F,115,0,
NA,08/07/2015,7,8,2015,3,M,190,0,
NA,08/07/2015,7,8,2015,3,F,115,0,
NA,08/07/2015,7,8,2015,3,M,190,0,
